C0:56:27:3A:34:29,48:F8:B3:24:A8:3F,F0:29:29:92:6B:50,B4:E9:B0:E5:0B:D0,Bin
60,35,0,0,13
64,39,0,0,13
61,35,0,0,13
64,34,0,0,13
64,33,0,0,13
61,37,0,0,13
62,37,0,0,13
61,36,0,0,13
61,38,0,0,13
62,37,0,0,13
65,37,0,0,13
67,35,0,25,13
62,34,0,25,13
63,35,0,25,13
63,33,0,25,13
63,33,0,25,13
63,32,0,25,13
61,36,0,25,13
58,35,0,25,13
57,32,0,25,13
58,32,0,25,13
61,35,0,25,13
58,40,0,25,13
70,31,0,25,13
65,37,0,25,13
61,40,0,25,13
60,41,0,25,13
67,41,0,25,13
69,39,0,25,13
65,35,0,25,13
66,37,0,25,13
67,34,0,25,13
66,37,0,25,13
60,35,0,0,13
70,35,0,0,13
66,36,0,0,13
65,30,0,0,13
64,31,0,0,13
60,32,0,0,13
66,33,0,0,13
65,43,0,0,13
61,29,0,0,13
61,34,0,0,13
64,34,0,0,13
66,36,0,0,13
62,32,0,0,13
61,32,0,0,13
70,33,0,0,13
70,39,0,0,13
70,38,0,0,13
70,37,0,0,13
70,38,0,0,13
70,35,0,0,13
70,38,0,0,13
66,34,0,0,13
67,30,0,0,13
67,40,0,0,13
64,38,0,0,13
64,36,0,0,13
66,37,0,0,13
64,35,0,0,13
66,32,0,0,13
61,33,0,0,13
70,43,0,0,13
70,39,0,0,14
70,39,0,0,14
70,37,29,0,14
70,36,29,0,14
70,35,29,0,14
70,35,29,0,14
70,39,27,0,14
70,39,27,0,14
70,38,28,0,14
70,33,28,0,14
70,33,28,0,14
70,36,28,0,14
69,32,26,0,14
70,40,26,0,14
70,38,26,0,14
70,43,26,0,14
70,44,26,0,14
69,42,26,0,14
70,40,26,0,14
69,35,26,0,14
70,38,26,0,14
70,42,26,0,14
69,43,26,0,14
65,44,26,0,14
70,37,26,0,14
70,41,26,0,14
70,38,26,0,14
68,39,26,0,14
70,36,26,0,14
66,36,26,0,14
70,39,26,0,14
70,38,26,0,14
70,33,26,0,14
70,35,26,0,14
70,37,26,0,14
64,38,26,0,14
70,38,26,0,14
68,41,26,0,14
70,41,0,0,14
70,37,0,0,14
70,38,0,0,14
70,42,0,0,14
70,40,0,0,14
70,40,0,0,14
70,45,0,0,14
70,41,0,0,14
70,43,0,0,14
70,43,0,0,14
69,39,0,0,14
66,45,0,0,14
70,42,26,0,14
70,39,26,0,14
70,42,26,0,14
68,45,26,0,14
69,43,26,0,14
70,40,26,0,14
70,42,26,0,14
69,36,26,0,14
68,37,26,0,14
69,42,26,0,14
68,41,26,0,14
70,35,26,0,14
67,42,28,0,14
67,44,28,0,14
70,42,28,0,14
70,37,28,0,14
70,42,28,0,14
68,35,28,0,14
65,34,28,0,14
70,37,28,0,14
67,34,28,0,14
70,43,28,0,14
64,39,28,0,14
70,43,28,0,14
68,42,28,0,14
67,32,28,0,14
67,40,28,0,14
68,41,28,0,14
68,36,28,0,14
65,39,28,0,14
65,42,28,0,14
66,36,28,0,14
67,32,28,0,14
61,38,28,0,14
64,34,0,0,14
70,40,0,0,14
70,41,0,0,14
70,36,0,0,14
70,36,0,0,14
70,37,0,0,14
67,34,0,0,14
66,40,0,0,14
68,36,0,0,14
68,38,0,0,14
67,37,0,0,14
67,35,0,0,14
64,33,0,0,14
63,40,0,0,14
64,38,0,0,14
70,40,0,0,14
66,44,0,0,14
69,40,0,0,14
70,41,0,0,14
70,35,0,0,14
70,45,0,0,14
70,37,0,0,14
70,37,0,0,14
70,47,40,0,15
70,54,37,0,15
70,57,40,0,15
69,51,36,0,15
70,48,40,0,15
67,50,37,0,15
70,44,34,0,15
70,48,34,0,15
68,49,27,0,15
70,38,27,0,15
70,48,27,0,15
69,44,27,0,15
70,44,27,0,15
69,45,27,0,15
70,47,27,0,15
70,44,27,0,15
70,45,27,0,15
70,46,27,0,15
70,46,27,0,15
70,46,27,0,15
70,46,27,0,15
70,55,27,0,15
70,57,36,0,15
70,49,34,26,15
70,53,34,26,15
70,51,34,26,15
70,49,34,26,15
70,53,36,26,15
70,44,36,26,15
70,46,36,26,15
70,45,31,26,15
70,47,25,26,15
69,49,29,26,15
70,46,30,26,15
70,48,31,26,15
66,51,33,26,15
67,40,33,26,15
70,43,30,26,15
70,50,30,26,15
70,47,31,26,15
64,46,28,26,15
60,46,28,26,15
68,48,28,26,15
67,44,28,26,15
68,46,28,26,15
66,44,28,0,15
64,49,33,0,15
67,54,35,0,15
63,48,35,27,15
65,50,35,27,15
62,51,32,27,15
63,51,32,27,15
65,49,29,27,15
70,50,35,27,15
70,59,35,27,15
70,55,41,23,15
70,57,41,23,15
70,55,34,23,15
69,60,34,23,15
70,50,34,23,15
70,57,34,23,15
70,53,34,23,15
70,49,34,23,15
70,52,34,23,15
70,48,29,23,15
62,52,0,31,16
70,51,32,31,16
67,47,32,31,16
70,50,32,31,16
68,49,32,31,16
64,49,32,31,16
69,47,30,31,16
69,49,37,31,16
70,47,37,31,16
70,45,37,31,16
63,46,37,31,16
61,50,37,31,16
67,45,37,31,16
70,53,37,31,16
70,53,39,31,16
58,46,39,31,16
66,48,34,31,16
65,51,34,31,16
68,51,34,31,16
69,54,35,31,16
63,49,34,31,16
64,54,34,31,16
65,52,34,0,16
67,45,34,0,16
64,46,34,0,16
68,47,34,0,16
65,44,34,0,16
66,43,30,0,16
63,43,29,0,16
67,47,29,0,16
69,42,29,0,16
64,46,29,0,16
66,49,29,0,16
64,47,29,0,16
63,45,33,0,16
63,49,35,0,16
60,47,35,0,16
67,45,35,0,16
64,47,35,0,16
59,41,38,0,16
58,48,38,0,16
66,47,35,0,16
64,51,35,0,16
67,56,35,0,16
64,52,35,0,16
67,47,34,0,16
59,55,34,0,16
58,51,34,0,16
62,49,28,0,16
61,52,28,0,16
61,47,30,0,16
56,50,30,0,16
57,47,30,0,16
61,52,33,0,16
60,56,41,0,16
60,49,41,27,16
54,54,41,27,16
55,44,41,27,16
52,45,33,27,16
56,48,31,27,16
65,52,31,27,16
60,52,37,25,16
64,50,36,25,16
58,53,36,25,16
67,47,37,25,16
66,47,35,25,16
61,49,35,25,16
60,52,35,25,16
60,44,35,25,16
58,50,33,25,16
60,49,33,25,16
56,47,31,25,16
54,48,31,25,16
58,48,31,25,16
60,52,31,25,16
64,44,31,25,16
61,47,31,25,16
67,48,31,25,16
62,50,31,25,16
67,49,31,25,16
67,49,30,25,16
62,48,30,25,16
66,50,30,25,16
60,55,30,0,16
63,46,30,0,16
68,50,34,0,16
68,46,34,0,16
65,49,34,0,16
66,48,34,0,16
46,47,0,0,17
47,49,33,0,17
46,48,32,0,17
47,46,32,0,17
52,54,37,0,17
59,55,37,0,17
58,58,38,0,17
55,54,37,0,17
51,58,37,0,17
55,57,37,29,17
50,57,34,29,17
52,54,34,29,17
48,56,35,27,17
55,53,37,27,17
55,53,38,27,17
51,57,38,27,17
54,59,38,27,17
57,48,38,27,17
53,50,34,27,17
52,44,34,27,17
54,52,34,27,17
57,48,34,27,17
55,50,34,27,17
55,56,41,30,17
49,51,38,29,17
49,52,37,29,17
52,48,37,29,17
46,54,39,29,17
49,54,39,29,17
46,52,39,29,17
56,54,39,35,17
52,55,41,30,17
61,57,37,30,17
54,53,40,28,17
62,58,40,28,17
56,63,40,33,17
55,50,37,26,17
52,54,39,26,17
53,57,41,35,17
45,56,41,29,17
51,60,39,29,17
51,57,38,25,17
52,54,44,25,17
46,51,40,25,17
49,49,41,25,17
49,55,41,25,17
51,56,37,26,17
44,51,38,26,17
47,57,39,31,17
49,54,39,31,17
48,59,37,29,17
47,55,46,29,18
42,57,47,27,18
42,62,47,27,18
50,54,41,29,18
48,55,37,34,18
47,58,40,29,18
45,63,42,29,18
45,58,43,31,18
43,57,40,31,18
45,55,38,35,18
45,52,40,32,18
41,55,43,32,18
56,60,43,39,18
45,62,48,38,18
37,55,38,33,18
44,61,45,33,18
40,62,45,33,18
43,66,43,33,18
43,61,46,35,18
43,59,45,35,18
53,65,41,37,18
56,64,54,37,18
43,62,42,42,18
43,60,43,39,18
43,55,41,40,18
44,58,44,39,18
48,61,52,38,18
44,65,48,37,18
43,53,52,39,18
51,65,52,39,18
48,58,47,34,18
49,65,49,37,18
48,58,48,35,18
51,56,42,34,18
54,60,47,34,18
50,60,45,35,18
56,61,46,35,18
57,55,47,34,18
50,61,52,37,18
47,62,51,41,18
41,66,49,37,18
47,68,50,42,18
47,67,51,41,18
47,65,53,44,18
41,68,53,39,18
39,64,47,41,18
40,54,45,39,18
42,63,50,37,18
40,57,50,35,19
40,56,43,33,19
42,54,44,36,19
44,57,44,37,19
41,60,41,36,19
40,61,49,40,19
40,59,45,38,19
39,59,49,37,19
43,61,44,41,19
45,63,48,35,19
45,64,56,43,19
51,70,54,43,19
52,70,56,43,19
42,69,50,45,19
41,70,50,40,19
41,70,50,41,19
39,70,50,44,19
42,70,52,43,19
39,61,50,41,19
35,70,50,43,19
39,67,54,40,19
45,64,55,40,19
39,64,57,42,19
37,66,51,44,19
41,65,53,42,19
35,66,52,43,19
44,65,52,41,19
49,70,68,49,19
47,70,59,49,19
50,67,59,41,19
51,67,57,43,19
44,70,49,37,19
42,70,49,42,19
37,68,58,41,19
38,70,53,37,19
44,70,60,45,19
49,70,62,40,19
52,70,54,40,19
46,70,54,41,19
46,70,58,39,19
37,70,58,47,19
33,68,49,40,19
35,66,48,39,19
39,70,55,44,19
35,69,58,40,19
47,70,56,45,19
40,69,54,43,19
49,70,54,43,19
40,70,52,37,19
47,70,57,44,19
47,70,53,46,19
43,67,56,43,19
44,70,53,41,19
47,69,50,38,19
55,70,56,38,19
